timepoint,control_nucleus,ci_L_control_nucleus,ci_U_control_nucleus,control_cytoplasm,ci_L_control_cytoplasm,ci_U_control_cytoplasm,control_cell boundary,ci_L_control_cell boundary,ci_U_control_cell boundary,sample_nucleus,ci_L_sample_nucleus,ci_U_sample_nucleus,sample_cytoplasm,ci_L_sample_cytoplasm,ci_U_sample_cytoplasm,sample_cell boundary,ci_L_sample_cell boundary,ci_U_sample_cell boundary
1,41.795,39.709,43.881,163.801,150.71,176.893,334.037,304.395,363.68,42.72,38.374,47.066,153.39,139.226,167.554,310.837,283.421,338.254
2,43.347,40.02,46.674,164.144,153.067,175.221,341.542,316.978,366.105,43.43,39.341,47.519,153.402,139.468,167.336,311.583,283.098,340.068
3,45.46,42.045,48.875,164.734,151.464,178.005,335.332,309.01,361.654,42.426,39.235,45.617,155.189,142.104,168.274,318.407,287.337,349.477
4,43.445,37.156,49.735,166.094,153.217,178.972,356.308,330.076,382.539,45.087,39.835,50.339,163.326,146.974,179.679,314.558,282.175,346.941
5,45.178,36.192,54.163,163.392,151.453,175.33,342.864,313.0,372.728,43.745,40.148,47.343,152.659,138.971,166.346,303.135,279.014,327.256
6,42.146,38.628,45.664,163.628,148.489,178.767,343.08,317.726,368.434,42.598,38.08,47.116,148.274,135.497,161.051,304.445,278.67,330.22
7,41.89,38.866,44.914,172.176,160.383,183.969,352.95,327.143,378.756,42.663,38.128,47.198,150.521,136.105,164.938,301.615,270.244,332.985
8,44.707,39.171,50.244,166.994,155.263,178.726,340.962,314.972,366.952,42.398,37.021,47.776,141.046,129.863,152.229,294.098,265.982,322.214
9,43.726,38.186,49.265,172.889,160.733,185.046,343.973,318.792,369.153,40.787,35.613,45.961,138.29,123.593,152.987,306.175,275.013,337.338
10,44.582,39.145,50.019,170.799,159.067,182.53,350.493,321.148,379.838,42.655,38.265,47.044,145.982,134.845,157.118,303.176,276.195,330.156
11,46.597,42.315,50.879,175.81,163.047,188.573,349.78,326.798,372.763,41.42,35.3,47.54,149.442,138.905,159.979,313.921,284.271,343.571
12,47.159,39.232,55.086,167.791,153.92,181.662,355.499,332.204,378.795,40.894,38.351,43.437,154.908,143.646,166.171,313.612,282.545,344.679
13,41.932,36.175,47.688,163.172,150.654,175.691,341.334,314.01,368.657,43.317,36.946,49.687,153.517,142.568,164.467,313.811,281.339,346.283
14,41.552,37.015,46.088,167.353,155.238,179.468,324.874,295.886,353.862,41.574,38.962,44.185,149.082,137.939,160.226,324.237,291.39,357.083
15,42.914,38.06,47.768,172.034,157.758,186.31,336.474,306.214,366.734,44.885,40.632,49.139,157.114,142.703,171.525,303.091,270.052,336.13
16,45.12,39.529,50.711,163.489,150.393,176.586,331.509,304.633,358.386,47.939,42.807,53.072,149.949,136.885,163.013,308.148,274.833,341.464
17,43.788,40.514,47.063,171.567,158.073,185.061,335.374,308.805,361.943,51.562,46.731,56.394,158.911,146.412,171.409,322.43,288.541,356.32
18,42.382,39.785,44.979,164.756,150.308,179.204,337.944,312.085,363.803,53.585,49.808,57.363,159.69,147.32,172.06,335.487,298.065,372.909
19,43.595,40.869,46.321,161.733,150.77,172.697,332.035,307.789,356.281,60.84,55.558,66.122,178.145,162.663,193.628,345.529,303.754,387.304
20,44.702,40.016,49.387,173.458,159.997,186.92,340.979,311.506,370.451,66.736,62.578,70.894,185.94,171.218,200.662,364.605,325.985,403.225
21,45.889,39.683,52.094,173.217,159.125,187.309,339.35,311.404,367.297,72.741,66.401,79.081,177.837,165.679,189.995,350.89,319.714,382.066
22,42.144,39.637,44.65,179.959,165.007,194.911,350.627,321.919,379.335,80.522,73.071,87.973,181.699,169.036,194.362,350.627,315.821,385.433
23,44.534,36.38,52.688,175.847,161.609,190.085,343.038,314.223,371.854,86.978,80.621,93.334,194.867,181.512,208.223,371.844,337.501,406.188
24,43.43,39.042,47.819,176.818,160.212,193.424,347.776,312.879,382.673,91.752,86.523,96.981,200.389,186.316,214.462,382.231,347.19,417.273
25,42.91,40.042,45.777,171.724,158.373,185.076,331.35,303.671,359.029,98.658,93.367,103.949,203.799,188.73,218.867,365.975,332.701,399.249
26,44.913,38.302,51.524,164.24,151.922,176.558,327.103,298.076,356.13,106.49,99.812,113.168,199.125,184.683,213.567,363.919,336.851,390.987
27,42.586,38.573,46.599,165.871,150.72,181.022,327.413,297.348,357.478,112.62,106.25,118.99,204.341,190.17,218.513,367.469,336.843,398.095
28,44.573,40.328,48.818,163.139,150.767,175.512,321.786,294.384,349.189,119.251,111.909,126.593,208.244,193.062,223.426,379.531,348.036,411.026
29,44.671,40.252,49.091,170.65,157.254,184.045,344.903,317.754,372.053,128.285,119.185,137.384,217.656,200.074,235.238,393.497,366.209,420.786
30,44.029,40.947,47.112,166.018,152.035,180.001,331.811,307.273,356.349,133.443,125.211,141.676,229.449,214.546,244.351,400.235,373.637,426.833
31,44.379,40.176,48.582,160.565,147.897,173.233,320.083,295.016,345.151,141.278,132.594,149.962,227.996,203.782,252.209,395.994,373.237,418.751
32,44.959,40.364,49.555,171.938,158.819,185.057,331.763,306.573,356.954,148.153,139.777,156.528,236.678,206.132,267.225,424.147,395.354,452.94
33,44.386,41.083,47.689,170.79,157.952,183.629,326.636,299.408,353.863,151.734,143.213,160.254,245.27,217.961,272.579,438.545,402.411,474.68
34,43.049,40.651,45.446,177.022,164.433,189.611,320.241,295.098,345.384,156.512,148.121,164.904,246.815,233.377,260.253,425.23,395.794,454.665
35,47.42,38.05,56.789,168.091,155.423,180.759,329.568,302.391,356.745,162.212,152.521,171.904,250.609,236.167,265.051,438.26,406.129,470.392
36,42.457,39.496,45.418,176.295,164.087,188.503,335.466,306.536,364.397,164.377,154.011,174.743,259.686,243.878,275.494,453.068,420.103,486.032
37,43.904,40.075,47.733,171.031,159.635,182.428,322.818,295.089,350.547,169.461,160.216,178.705,257.732,241.35,274.114,446.667,412.706,480.629
38,43.649,40.391,46.908,176.17,162.833,189.507,335.978,304.015,367.942,171.954,161.362,182.545,252.197,234.824,269.57,458.374,426.301,490.447
39,42.149,39.589,44.709,174.011,162.53,185.491,334.381,304.137,364.625,175.981,166.992,184.969,263.421,246.98,279.862,466.578,426.774,506.382
40,44.035,39.958,48.112,171.246,160.963,181.529,323.139,292.515,353.763,177.445,166.742,188.148,263.554,243.67,283.437,451.816,414.11,489.523
41,42.562,38.651,46.472,170.889,157.32,184.457,327.48,290.347,364.614,175.378,165.108,185.647,269.374,254.044,284.705,460.032,424.462,495.603
42,42.742,39.104,46.381,168.96,155.464,182.456,325.771,296.753,354.789,180.252,166.59,193.914,262.141,246.085,278.197,470.678,434.393,506.964
43,43.064,37.37,48.757,174.629,160.492,188.767,339.393,312.357,366.429,180.959,169.616,192.301,269.306,253.976,284.636,460.551,429.45,491.653
44,41.664,37.119,46.209,172.526,159.667,185.385,331.407,302.694,360.12,183.123,166.799,199.447,265.404,251.535,279.273,460.041,428.995,491.087
45,42.439,38.68,46.197,169.411,154.63,184.191,330.344,296.497,364.19,189.996,176.239,203.753,263.725,248.642,278.809,466.262,431.589,500.936
46,41.982,38.076,45.887,169.26,156.414,182.107,320.13,290.432,349.829,187.697,173.373,202.022,274.513,258.098,290.928,480.618,447.252,513.984
47,41.354,38.107,44.602,167.794,155.161,180.428,326.369,298.491,354.247,194.141,180.633,207.65,271.637,256.098,287.175,476.037,444.898,507.177
48,40.884,38.568,43.2,168.292,155.048,181.536,337.381,307.091,367.671,196.294,183.308,209.281,272.59,257.553,287.628,465.942,434.181,497.702
49,42.011,38.493,45.529,168.508,154.654,182.362,340.508,310.198,370.817,197.741,185.534,209.947,273.495,259.185,287.806,474.451,447.579,501.322
50,44.659,39.503,49.814,172.537,159.312,185.762,332.33,303.033,361.627,203.51,190.953,216.068,280.845,267.008,294.681,477.37,446.382,508.358
51,42.075,38.943,45.206,163.019,149.549,176.49,323.437,292.007,354.868,204.346,188.973,219.72,286.967,271.088,302.847,486.108,453.655,518.561
52,41.775,39.158,44.392,167.555,153.231,181.879,339.382,308.787,369.977,207.436,193.381,221.492,294.42,277.686,311.154,496.656,461.021,532.291
53,42.875,39.656,46.094,168.524,154.538,182.51,341.484,308.348,374.62,212.196,197.018,227.374,293.539,277.734,309.344,493.159,455.422,530.896
54,42.06,39.516,44.603,165.494,153.37,177.619,335.436,309.047,361.826,211.477,197.047,225.907,293.545,278.453,308.638,502.734,467.412,538.055
55,43.149,38.546,47.753,164.147,151.897,176.396,338.356,310.548,366.163,210.306,195.296,225.317,289.693,273.563,305.822,495.106,463.206,527.006
56,42.741,40.394,45.089,171.414,157.067,185.762,353.558,321.526,385.589,211.588,196.383,226.793,298.117,282.293,313.941,508.014,472.963,543.065
57,43.329,40.647,46.012,166.258,154.141,178.375,350.072,320.895,379.249,212.241,195.272,229.21,293.296,275.495,311.097,515.406,480.059,550.754
58,44.094,39.838,48.351,171.808,160.551,183.064,338.589,311.72,365.459,212.175,195.098,229.251,292.266,276.021,308.51,511.017,475.378,546.657
59,42.422,39.509,45.335,160.867,149.824,171.91,337.556,304.952,370.161,211.05,192.962,229.139,288.758,273.126,304.391,503.333,469.45,537.216
60,42.04,38.717,45.364,161.796,149.958,173.634,325.401,299.435,351.367,207.239,189.911,224.568,299.827,282.883,316.772,501.705,467.649,535.761
61,42.188,39.075,45.301,161.222,151.107,171.336,340.685,313.696,367.673,207.941,189.903,225.979,297.982,281.648,314.317,508.01,474.574,541.446
62,41.527,37.65,45.404,158.678,148.508,168.847,319.451,295.996,342.906,206.187,188.53,223.845,299.846,283.253,316.439,508.075,476.979,539.17
63,43.855,39.886,47.823,149.575,140.213,158.938,316.623,293.3,339.945,201.942,184.508,219.376,301.363,283.307,319.42,497.33,463.533,531.127
64,44.998,38.95,51.047,147.279,138.166,156.391,308.193,285.821,330.565,201.859,184.127,219.59,299.488,281.768,317.208,499.572,466.794,532.351
65,42.422,37.425,47.418,154.089,143.163,165.015,299.321,273.698,324.944,202.009,182.995,221.024,295.616,275.511,315.722,504.333,467.367,541.299
66,41.339,38.725,43.954,150.472,140.727,160.217,309.634,285.749,333.519,200.44,181.343,219.536,299.018,280.963,317.072,492.262,457.024,527.5
67,41.701,38.302,45.1,144.737,135.135,154.339,294.611,270.267,318.955,200.781,180.945,220.616,286.182,267.717,304.647,482.233,443.258,521.208
68,40.087,37.507,42.667,153.384,142.906,163.861,300.91,281.365,320.455,198.008,178.198,217.818,277.486,260.619,294.352,472.478,435.924,509.031
69,41.314,37.481,45.148,149.88,138.032,161.729,298.193,273.83,322.555,197.213,177.407,217.02,288.486,270.537,306.434,474.986,441.451,508.521
70,39.812,35.954,43.669,140.001,130.757,149.245,293.773,267.81,319.736,192.383,172.608,212.159,286.613,267.08,306.146,471.88,440.522,503.238
71,40.953,36.642,45.264,145.296,135.441,155.15,293.227,264.66,321.794,184.445,165.022,203.868,272.414,252.557,292.272,448.058,414.53,481.586
72,38.97,36.193,41.748,137.892,129.255,146.529,298.198,271.101,325.296,194.594,173.798,215.391,280.172,260.942,299.402,445.892,415.083,476.7
73,39.219,36.209,42.229,137.55,127.953,147.147,284.291,256.651,311.932,198.637,177.721,219.553,282.633,263.982,301.283,450.225,419.04,481.409
74,38.811,36.374,41.247,139.025,129.452,148.598,296.615,269.257,323.972,192.568,169.99,215.146,282.342,264.041,300.643,455.768,426.835,484.701
75,38.296,35.825,40.767,134.939,125.487,144.391,279.649,249.801,309.497,198.618,175.768,221.469,289.338,269.513,309.164,480.182,442.724,517.639
76,39.397,35.943,42.851,142.787,131.665,153.91,294.322,270.017,318.627,199.349,173.866,224.832,286.691,264.375,309.007,459.02,424.292,493.747
77,39.24,36.858,41.622,133.265,123.019,143.511,291.831,267.64,316.022,197.778,172.404,223.151,278.774,257.009,300.538,439.423,404.354,474.492
78,39.506,36.892,42.121,139.837,128.271,151.402,300.08,274.937,325.222,193.899,169.621,218.177,281.224,259.318,303.131,445.167,413.184,477.15
79,39.011,36.591,41.431,134.918,124.126,145.71,297.217,271.583,322.85,200.736,174.58,226.892,291.622,265.1,318.144,464.288,429.64,498.936
80,39.295,37.485,41.105,141.482,132.388,150.576,290.346,268.035,312.657,199.5,173.524,225.476,289.073,261.617,316.53,467.738,431.629,503.847
81,39.392,37.185,41.599,140.589,130.125,151.053,292.673,269.359,315.986,197.646,170.709,224.582,294.582,271.536,317.627,459.647,425.819,493.474
82,39.255,36.764,41.746,139.419,130.925,147.914,298.049,275.592,320.507,202.656,174.917,230.395,290.607,268.768,312.446,468.683,435.331,502.034
83,39.581,36.275,42.887,144.886,132.926,156.847,296.882,272.603,321.162,202.115,173.459,230.77,278.616,255.169,302.063,448.529,414.947,482.112
84,40.742,37.253,44.23,142.516,131.902,153.131,311.624,284.802,338.446,199.544,172.066,227.023,284.906,260.643,309.168,439.991,407.706,472.275
85,38.725,36.118,41.331,131.891,123.3,140.483,291.329,266.555,316.103,199.887,173.925,225.849,270.284,248.984,291.583,438.036,407.56,468.512
86,39.143,32.138,46.147,134.461,124.827,144.096,284.355,261.102,307.609,196.841,170.313,223.369,265.135,241.335,288.934,433.438,398.565,468.311
87,39.1,35.855,42.345,129.822,120.65,138.994,279.722,254.281,305.164,190.601,165.521,215.681,260.72,238.022,283.418,439.189,409.307,469.07
88,38.959,36.28,41.638,130.305,122.58,138.03,276.124,254.165,298.082,191.477,165.927,217.027,271.009,245.632,296.386,437.682,402.225,473.139
89,39.992,36.954,43.031,130.367,121.922,138.812,273.8,254.835,292.766,192.001,164.994,219.007,273.05,249.571,296.53,417.717,384.643,450.791
90,39.346,34.366,44.326,129.851,122.49,137.213,262.569,243.417,281.721,191.222,164.344,218.099,259.63,233.717,285.543,426.12,390.739,461.501
91,39.704,35.9,43.508,124.031,114.93,133.133,273.413,250.64,296.187,190.562,163.112,218.013,273.929,252.192,295.667,430.427,391.943,468.912
92,39.461,36.482,42.439,134.659,125.718,143.599,275.613,254.084,297.142,188.539,161.72,215.357,261.414,237.906,284.922,420.579,384.315,456.844
93,37.563,33.888,41.239,129.526,118.661,140.39,277.266,255.378,299.155,188.424,161.413,215.434,255.777,232.402,279.152,409.02,370.778,447.261
94,40.363,16.624,64.102,140.74,132.293,149.186,282.067,258.147,305.987,187.443,162.014,212.872,260.558,237.61,283.507,417.627,382.562,452.692
95,37.883,34.963,40.802,130.064,121.95,138.178,268.196,248.514,287.878,191.873,164.238,219.508,273.159,248.194,298.123,435.785,397.497,474.072
